
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.2)

2026-05-29T07:18:00.911+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Starting SearchServiceApplicationKt using Java 17.0.2 with PID 9616 (C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service\build\libs\bible-search-service.jar started by PC in C:\Users\PC\.qclaw\workspace-v733kxt9elzfv7u1\bible-microservices\bible-search-service)
2026-05-29T07:18:00.924+08:00 DEBUG 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Running with Spring Boot v3.2.2, Spring v6.1.3
2026-05-29T07:18:00.931+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : No active profile set, falling back to 1 default profile: "default"
2026-05-29T07:18:09.927+08:00  INFO 9616 --- [bible-search-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8082 (http)
2026-05-29T07:18:10.428+08:00  INFO 9616 --- [bible-search-service] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-05-29T07:18:10.430+08:00  INFO 9616 --- [bible-search-service] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.18]
2026-05-29T07:18:10.949+08:00  INFO 9616 --- [bible-search-service] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2026-05-29T07:18:10.972+08:00  INFO 9616 --- [bible-search-service] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 9270 ms
2026-05-29T07:18:14.077+08:00  INFO 9616 --- [bible-search-service] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8082 (http) with context path ''
2026-05-29T07:18:14.471+08:00  INFO 9616 --- [bible-search-service] [           main] c.b.search.SearchServiceApplicationKt    : Started SearchServiceApplicationKt in 15.759 seconds (process running for 18.909)
2026-05-29T07:18:50.690+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-05-29T07:18:50.691+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-05-29T07:18:50.694+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] o.s.web.servlet.DispatcherServlet        : Completed initialization in 2 ms
2026-05-29T07:18:52.392+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    : 译本 lxx: 共 84 卷书，开始索引...
2026-05-29T07:18:54.551+08:00  INFO 9616 --- [bible-search-service] [nio-8082-exec-3] c.b.search.service.BibleSearchService    :   [lxx] Genesis: 1531 verses (total 1531)
